timestamp,CHP_KWH,CHP_A,CHP_KW,CHP_VFD,QCH,TCHR,TCWS,TCHS,TCHS_SP,IPCT,CH_KW,TCWR_1,TCWR_2,TCWR_3,TCWR_4,TCWR_5,TCHD_cal,RT_cal,KWRT_cal,COP_cal
2020-07-29 02:15:00+00:00,710.4,47.4,30.2,41.9,851908.875,10.816666666666666,26.13888888888889,5.333333333333334,4.444444444444445,1415.62,794.53,20.777777777777782,21.22222222222222,21.11111111111111,21.22222222222222,21.22222222222222,5.4833333333333325,1544.742173032407,0.5143447326490074,6.8358821949856425
2020-07-29 02:30:00+00:00,710.4,47.4,30.6,41.9,851908.875,10.627777777777778,25.91666666666667,5.26111111111111,4.444444444444445,1399.9,783.26,20.777777777777782,21.333333333333336,20.888888888888886,21.22222222222222,21.22222222222222,5.366666666666668,1511.8753182870375,0.5180718214828969,6.786703800905477
2020-07-29 02:45:00+00:00,710.4,46.6,29.2,41.9,839559.1769999999,10.627777777777778,25.616666666666667,5.477777777777778,4.444444444444445,1300.9,712.31,20.555555555555557,20.833333333333332,20.777777777777782,20.833333333333332,20.833333333333332,5.15,1429.804815327381,0.49818688003012707,7.057592523888577
2020-07-29 03:00:00+00:00,710.4,46.6,32.5,42.5,872772.5519999999,10.627777777777778,25.25,5.716666666666666,4.444444444444445,1207.29,651.67,20.166666666666668,20.500000000000004,20.500000000000004,20.500000000000004,20.611111111111107,4.911111111111112,1417.4216195767199,0.45975734460336937,7.647512413386757
2020-07-29 03:15:00+00:00,710.4,46.7,29.5,40.2,818695.5,10.82222222222222,25.022222222222226,5.7555555555555555,4.444444444444445,1314.6,722.13,20.166666666666668,20.500000000000004,20.27777777777778,20.500000000000004,20.611111111111107,5.066666666666664,1371.7120370370362,0.5264443122915473,6.678769088975973
2020-07-29 03:30:00+00:00,710.4,47.8,31.1,40.2,858011.0519999999,10.850000000000001,28.072222222222223,5.566666666666668,4.444444444444445,1328.57,732.14,19.61111111111111,20.11111111111111,19.88888888888889,20.11111111111111,20.11111111111111,5.283333333333333,1499.060314616402,0.48839929445223756,7.199027598807973
2020-07-29 03:45:00+00:00,710.4,47.2,30.2,40.2,846656.0519999999,10.516666666666667,25.472222222222218,5.477777777777778,4.444444444444445,1342.85,742.38,20.27777777777778,20.27777777777778,20.38888888888889,20.444444444444443,20.555555555555557,5.03888888888889,1410.7823323853618,0.5262186681518601,6.681632965148485
2020-07-29 04:00:00+00:00,710.4,46.3,28.8,40.2,832037.625,10.150000000000002,24.66666666666667,5.350000000000001,4.444444444444445,1201.48,648.22,20.0,20.27777777777778,20.055555555555554,20.33333333333333,20.444444444444443,4.800000000000001,1320.694642857143,0.49081746753940364,7.163559230331854
2020-07-29 04:15:00+00:00,710.4,45.8,28.0,40.2,817276.125,10.088888888888887,24.305555555555557,5.355555555555556,4.444444444444445,1215.62,656.62,19.66666666666667,20.166666666666668,19.88888888888889,20.055555555555554,20.166666666666668,4.733333333333331,1279.246139219576,0.5132866771054563,6.849973234893894
2020-07-29 04:30:00+00:00,710.4,44.8,26.3,40.2,805778.0519999999,9.983333333333333,24.41111111111111,5.438888888888888,4.444444444444445,1093.04,583.75,19.72222222222222,20.33333333333333,19.944444444444446,20.166666666666668,20.33333333333333,4.544444444444444,1210.9171930776013,0.48207260028769827,7.293507239162048
2020-07-29 04:45:00+00:00,710.4,44.9,26.2,40.2,801946.875,10.18888888888889,24.08333333333333,5.58888888888889,4.444444444444445,1107.81,592.53,19.72222222222222,19.833333333333332,19.88888888888889,19.88888888888889,20.11111111111111,4.6,1219.8927331349205,0.4857230344157366,7.238693145836296
2020-07-29 05:00:00+00:00,710.4,45.0,26.4,40.2,802798.5,10.055555555555555,24.283333333333328,5.438888888888888,4.444444444444445,1122.58,601.31,19.66666666666667,19.944444444444446,19.944444444444446,20.055555555555554,20.222222222222225,4.616666666666667,1225.612789351852,0.4906198802951414,7.166444209078698
2020-07-29 05:15:00+00:00,710.5,44.2,25.2,40.2,792719.8019999999,9.849999999999998,23.972222222222225,5.2888888888888905,4.444444444444445,1122.58,601.31,19.88888888888889,20.27777777777778,19.944444444444446,20.33333333333333,20.33333333333333,4.561111111111107,1195.6623997685174,0.5029095170312412,6.991317286567839
2020-07-29 05:30:00+00:00,710.5,43.5,23.8,40.2,784914.375,9.833333333333336,23.711111111111116,5.477777777777778,4.444444444444445,1004.24,537.28,19.66666666666667,20.11111111111111,19.833333333333332,20.055555555555554,20.222222222222225,4.355555555555558,1130.535108024692,0.475243976225341,7.398305240870341
2020-07-29 05:45:00+00:00,710.5,43.5,24.1,40.2,783495.0,10.038888888888888,23.783333333333335,5.6722222222222225,4.444444444444445,961.21,515.28,19.72222222222222,20.222222222222225,20.055555555555554,20.166666666666668,20.27777777777778,4.366666666666665,1131.3695436507933,0.45544800360919513,7.719871362125814
